Name,Number of Occurrences,Student Usernames
Nikhil,2,"UCO06011, TOP11007"
Vaibhavi,2,"TGT11013, KCJ07013"
ANUSHKA SHARMA,2,"PGP11075, NYU10069"
Daksh,2,"JKG11069, JKG07005"
Garima,2,"BZX11030, UCO10068"
Aarav Jain,2,"NYU06193, KBH08038"
Harshit,2,"SWA06021, JKG11026"
Devesh,2,"UCO09060, KCJ06008"
Anurag,2,"UCO07047, UCO06005"
Aakash Gupta,2,"NYU12016, GHE11028"
Shubham Sharma,2,"UIG11005, NSJ11008"
AARAV JAIN,2,"ZIG06003, JMH06048"
Bhavya Jain,2,"KYP09008, NJW11144"
Aradhya,2,"QUU06001, UCO06035"
Manya Singh,2,"CGE06027, KCJ10040"
Ishika,2,"UCO06021, BZX11034"
Saanvi,2,"RTC12107, SWA07090"
Kanika,2,"YKH11008, UCO09065"
Devyani,2,"SWA07056, SWA08110"
Ishaan,2,"XSE07007, SWA08115"
Ananya,2,"SWA07070, SWA08119"
Raghav,2,"SWA07104, SWA09128"
Vidisha,2,"EEB11009, UIG12035"
Paridhi,2,"SWA06009, FXW12044"
Pranav Patil,2,"GSR06015, LWB09036"
Manvi,2,"UCO07041, UCO09061"
Prabhgun Kaur,2,"OVJ10006, KBH06003"
Vansh,2,"FXW09005, WFO12004"
Aditi Singh,2,"KCJ08027, JUR09040"
Shaurya Bhardwaj,2,"AJV07018, CGE08003"
Shaurya,2,"UCO06014, JUR07019"
Ankit Kumar,2,"RIE12011, UNX12005"
Ishaan Gupta,2,"JUR07020, ELH08002"
Vedant,2,"SWA08105, XSE11026"
Arnav Gupta,2,"JUR07018, GVS09005"
Zainab Khan,2,"TJN11005, KGB08016"
Divyanshi Sharma,2,"QUU06009, CUB06013"
Muskan,2,"FIY12016, YKH11011"
Nakul,2,"UCO06036, YKH11012"
Rohit,2,"UIG11004, YKH11016"
Deepika,2,"BZX11026, TQA11012"
Tanish,2,"KCJ07014, UCO06030"
Arnav,2,"SWA07092, VXI09022"
MAHI AGARWAL,2,"QCA09153, IFR09037"
Lakshya Jain,2,"NJW09078, LWA08010"
Ojas Garg,2,"EAH10093, GVS09015"
SAMARTH SHUKLA,2,"JMH06031, ZIG06084"
Harshit Yadav,2,"KPE11007, GVS09013"
Yash,2,"JKG11021, UIG11007"
Prachi,2,"YKH11013, UIG11017"
Anjali,2,"UCO12080, UIG11020"
Kashish,2,"UCO06008, UIG12030"
Rishi,2,"EXV12022, SWA06024"
Pratyush,2,"SWA07067, SWA06029"
Aditi,2,"XSE11024, JKG11024"
Khanak,2,"UCO06037, JKG11025"
Rishabh Jain,2,"MSN12008, EEB12016"
Sarthak,2,"SWA07062, GTL09003"
Naman Garg,2,"BZX12008, LWB11095"
Aarav Garg,2,"EAH12140, LWB09048"
Srishti,2,"UCO11076, JKG11057"
Shivani,2,"FIY12012, UCO07042"
Ayush,2,"AJV08027, UCO07048"
Aayushi,2,"SWA09131, JKG11048"
Priyanshi,2,"XSE11027, JKG11038"
Aryan,2,"FXW09006, JKG11041"
Rashi,2,"YBC11046, JKG11023"
Monika,2,"UIG12032, UCO08055"
Kunal,2,"AJV08021, UCO06012"
Bhavik Bajaj,2,"NSJ12035, TGT12002"
Sakshi,2,"UCO06023, GWZ11008"
Piyush,2,"UCO07045, UIG11006"
Manisha,2,"XSE10022, UCO11069"
Siddhi,2,"UCO12082, UIG11013"
Rahul,2,"NJW08059, FXW09020"
Khushi Aggarwal,2,"TGT11016, YBC12027"
Mudit,2,"YKH11010, FXW09012"
Ridhima,2,"SWA07068, FXW09004"
Navya Jain,2,"EAH09013, OVY12012"
Priyal,2,"EAH12152, PVU11001"
Yashika,2,"YBC12020, UCO09062"
Diya,2,"KNO06014, SWA06014"
Anshika Singh,2,"GHE12009, EAV07011"
Navya Gupta,2,"YQD08026, XGL12056"
Anshika,2,"OVJ10010, FNI11017"
Nikhil Yadav,2,"ITB11012, FNI09007"
Divyansh,2,"XSE08012, YBC12028"
Ridhi,2,"YBC12024, PVU11014"
Khushi,2,"KNO08019, WFO12008"
YASHVI JALAN,2,"ZIG06090, ONC11027"
Devansh,2,"SWA07082, SWA06007"
Priyanshu,2,"JKG11043, SWA10138"
Mahima,2,"JKG11027, SWA07101"
Dhruv,2,"UCO09057, SWA10137"
Advait,2,"SWA06015, SWA07040"
Sejal,2,"KNO06011, SWA07041"
Aadi Jain,2,"TVU12037, XUR12057"
Anika Sharma,2,"NYU08112, CUB07036"
Priyam,2,"EAH09039, BZX11025"
Aarav,2,"SWA07086, IMO08015"
Kanishka,2,"QAX07014, BZX10036"
AARAV GUPTA,2,"IFR07074, NYU07160"
ATHARV GUPTA,2,"JMH08086, NYU07161"
Hitarth Jain,2,"FYN12110, OHV06002"
Lakshay Kumar,2,"TVU11005, JKG08012"
Aryan Patel,2,"TOP12012, POL11005"
ADITYA GUPTA,2,"QCA08026, IFR09042"
KRISHIV GUPTA,2,"PGP11051, IFR09052"
Rishika Soni,2,"PMX09028, FYN10061"
Mayank Kumar,2,"NSJ08023, FXW10030"
Riya,2,"WFO12005, JKG12074"
Sonakshi,2,"SWA08107, FXW10024"
Yuvraj,2,"BZX11023, AJV08022"
Rishab,2,"VMX12036, XSE07008"
Saanvi Singh,2,"LWB06007, LWB10087"
Navya,2,"FIY11007, BZX12013"
Abhinav,2,"EAH11105, JKG11067"
